Survived,Pclass,Age,SibSp,Parch,Fare,Cabin_Known,FamilySize,IsAlone,Sex_Encoded,Embarked_Encoded,AgeGroup_Encoded,FareBin_Encoded,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Rare,Title_Royalty,SexPclass_female_Class1,SexPclass_female_Class2,SexPclass_female_Class3,SexPclass_male_Class1,SexPclass_male_Class2,SexPclass_male_Class3,AgeSex_Adult_Female,AgeSex_Adult_Male,AgeSex_Young
0,0.8273772438659699,-0.5348911628688886,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0,0.059159876663617626,0,0.7376951317802901,0.5859541426526597,-0.1449427589131122,-1.3397369794696112,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
1,-1.5661069258891576,0.6683917564561223,0.4327933656785018,-0.4736736092984604,0.7868452935884461,1,0.059159876663617626,0,-1.3555735383351195,-1.942303199253005,1.0290935882830956,1.3447584823911616,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
1,0.8273772438659699,-0.23407043303763592,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,0,-0.5609748304808925,1,-1.3555735383351195,0.5859541426526597,-0.1449427589131122,-0.4449051588493537,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,-1.5661069258891576,0.4427762090826827,0.4327933656785018,-0.4736736092984604,0.4207302360686478,1,0.059159876663617626,0,-1.3555735383351195,0.5859541426526597,1.0290935882830956,1.3447584823911616,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0,0.8273772438659699,0.4427762090826827,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,1.0290935882830956,-0.4449051588493537,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.8273772438659699,-0.3092756154954491,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,0,-0.5609748304808925,1,0.7376951317802901,-0.6781745283001727,-0.1449427589131122,-0.4449051588493537,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-1.5661069258891576,1.8716746757811333,-0.47454519624983954,-0.4736736092984604,0.395813560675251,1,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,1.0290935882830956,1.3447584823911616,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0.8273772438659699,-2.038994812025152,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0,1.9195639980971482,0,0.7376951317802901,0.5859541426526597,-2.493015453305528,0.44992666177090385,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,0.8273772438659699,-0.15886525057982273,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,0,0.6792945838081278,0,-1.3555735383351195,0.5859541426526597,-0.1449427589131122,-0.4449051588493537,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
1,-0.3693648410115938,-1.136532622531394,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0,0.059159876663617626,0,-1.3555735383351195,-1.942303199253005,-1.3189791061093201,0.44992666177090385,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1,0.8273772438659699,-1.8885844471095259,0.4327933656785018,0.7676298785983874,-0.312172377522981,1,0.6792945838081278,0,-1.3555735383351195,0.5859541426526597,-2.493015453305528,0.44992666177090385,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,-1.5661069258891576,2.172495405612386,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,1,-0.5609748304808925,1,-1.3555735383351195,0.5859541426526597,1.0290935882830956,0.44992666177090385,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0,0.8273772438659699,-0.685301527784515,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,-0.1449427589131122,-0.4449051588493537,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.8273772438659699,0.7435969389139355,0.4327933656785018,5.73284383018578,-0.01870931177853076,0,3.1598334123861687,0,0.7376951317802901,0.5859541426526597,1.0290935882830956,1.3447584823911616,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.8273772438659699,-1.136532622531394,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,0,-0.5609748304808925,1,-1.3555735383351195,0.5859541426526597,-1.3189791061093201,-1.3397369794696112,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,-0.3693648410115938,1.9468798582389464,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,0,-0.5609748304808925,1,-1.3555735383351195,0.5859541426526597,1.0290935882830956,0.44992666177090385,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
0,0.8273772438659699,-2.038994812025152,3.1548090514635256,0.7676298785983874,-0.06199888922968463,0,2.5396987052416584,0,0.7376951317802901,-0.6781745283001727,-2.493015453305528,0.44992666177090385,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,-0.3693648410115938,0.06675029679361683,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,0,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,-0.1449427589131122,-0.4449051588493537,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0.8273772438659699,0.14195547925143,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,0,0.059159876663617626,0,-1.3555735383351195,0.5859541426526597,-0.1449427589131122,0.44992666177090385,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
1,0.8273772438659699,-0.5724937540977952,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,-0.5609748304808925,1,-1.3555735383351195,-1.942303199253005,-0.1449427589131122,-1.3397369794696112,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
0,-0.3693648410115938,0.4427762090826827,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,0,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,1.0290935882830956,0.44992666177090385,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
1,-0.3693648410115938,0.36757102662486957,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,1,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,-0.1449427589131122,-0.4449051588493537,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
1,0.8273772438659699,-1.061327440073581,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,0,-0.5609748304808925,1,-1.3555735383351195,-0.6781745283001727,-1.3189791061093201,-0.4449051588493537,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,-1.5661069258891576,-0.08366006812200955,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,1,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,-0.1449427589131122,1.3447584823911616,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0.8273772438659699,-1.5877637172782733,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0,1.9195639980971482,0,-1.3555735383351195,0.5859541426526597,-2.493015453305528,0.44992666177090385,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,0.8273772438659699,0.6683917564561223,0.4327933656785018,5.73284383018578,-0.016444159470040135,0,3.1598334123861687,0,-1.3555735383351195,0.5859541426526597,1.0290935882830956,1.3447584823911616,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
0,0.8273772438659699,-0.3092756154954491,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,-0.5609748304808925,1,0.7376951317802901,-1.942303199253005,-0.1449427589131122,-1.3397369794696112,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-1.5661069258891576,-0.7605067102423282,2.2474704895351842,2.0089333664952354,4.647001076532463,1,2.5396987052416584,0,0.7376951317802901,0.5859541426526597,-0.1449427589131122,1.3447584823911616,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0.8273772438659699,-0.5724937540977952,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,0,-0.5609748304808925,1,-1.3555735383351195,-0.6781745283001727,-0.1449427589131122,-1.3397369794696112,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,0.8273772438659699,-0.3092756154954491,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,-0.1449427589131122,-1.3397369794696112,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-1.5661069258891576,0.8188021213717487,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,0,-0.5609748304808925,1,0.7376951317802901,-1.942303199253005,1.0290935882830956,0.44992666177090385,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,-1.5661069258891576,0.4427762090826827,0.4327933656785018,-0.4736736092984604,2.301728820789,1,0.059159876663617626,0,-1.3555735383351195,-1.942303199253005,1.0290935882830956,1.3447584823911616,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
1,0.8273772438659699,-0.5724937540977952,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,0,-0.5609748304808925,1,-1.3555735383351195,-0.6781745283001727,-0.1449427589131122,-1.3397369794696112,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
0,-0.3693648410115938,2.7741368652748912,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,0,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,2.2031299354793035,-0.4449051588493537,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
0,-1.5661069258891576,-0.08366006812200955,0.4327933656785018,-0.4736736092984604,1.0060617003323709,0,0.059159876663617626,0,0.7376951317802901,-1.942303199253005,-0.1449427589131122,1.3447584823911616,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,-1.5661069258891576,0.969212486287375,0.4327933656785018,-0.4736736092984604,0.39858208016340624,0,0.059159876663617626,0,0.7376951317802901,0.5859541426526597,1.0290935882830956,1.3447584823911616,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0.8273772438659699,-0.3092756154954491,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,-0.5609748304808925,1,0.7376951317802901,-1.942303199253005,-0.1449427589131122,-1.3397369794696112,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.8273772438659699,-0.6100963453267019,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,0,-0.5609748304808925,1,0.7376951317802901,0.5859541426526597,-0.1449427589131122,-0.4449051588493537,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
0,0.8273772438659699,-0.8357118927001413,1.340131927606843,-0.4736736092984604,-0.2859972841804228,0,0.6792945838081278,0,-1.3555735383351195,0.5859541426526597,-0.1449427589131122,0.44992666177090385,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,0.8273772438659699,-1.136532622531394,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0,0.059159876663617626,0,-1.3555735383351195,-1.942303199253005,-1.3189791061093201,-0.4449051588493537,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
